Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence
HIG,70.35,11.0,79.12846203098161,↑,0.003783023116706404
HSY,221.47,8.0,221.27381497503666,↓,0.14789172418323435
MOS,63.845,11.0,75.28426391041921,↑,0.01461108481231931
TRV,173.11,14.0,176.72534561157227,↑,0.011069548270147516
DIS,116.84,-9.0,164.84037006908147,↑,0.002168658027953804
TMO,516.735,7.0,836.3735959113874,↑,0.001394653318654447
TJX,61.99,9.0,62.07267750775736,↑,0.06402402831446788
TSCO,207.39,15.0,223.98246271542484,↑,0.0029108824926948993
TT,145.89,12.0,194.06883283227444,↑,0.009043136857356226
TDG,620.09,10.0,619.1830294264073,↓,0.01980942061844578
TRMB,66.48,13.0,76.83722932789124,↑,0.011879333032122963
TFC,51.055,2.0,49.828752583958135,↓,0.025876662565552055
TWTR,50.085,0.0,48.6063913951466,↓,0.09442282742529431
TSN,93.11,11.0,92.4396884146845,↓,0.05857107833285473
USB,50.225,-3.0,51.07850181438141,↑,0.008407969841175533
UDR,57.21,4.0,56.70144938166777,↓,0.07508540315376959
ULTA,409.505,9.0,406.1196031823238,↓,0.38939522546075944
UAA,14.865,2.0,13.63186876122694,↓,0.03125992664620982
UA,13.835,2.0,13.259514976539549,↓,0.029343608822635082
UNP,235.34,12.0,298.4877361023068,↑,0.003280496300615901
UAL,49.215,6.0,48.95424741284978,↓,0.33278144729135556
UPS,185.09,-2.0,186.77058952254015,↑,0.009762037252132543
URI,303.3,10.0,473.0822452740513,↑,0.001186797509997428
UNH,517.28,6.0,525.4526664618752,↑,0.02931608249046675
UHS,126.61,8.0,638.6049520884403,↑,0.00020533596842042289
VLO,105.44,18.0,105.33331240130065,↓,0.2040566450045764
VTR,58.17,1.0,57.821523627772876,↓,0.030222931776996736
VRSN,208.61,9.0,211.79015570878983,↑,0.03284515839331659
VZ,49.79,13.0,120.95085519518625,↑,0.0002401378816476704
VRTX,268.81,11.0,272.8191013621836,↑,0.051534292424428814
VFC,52.92,0.0,49.476438019263924,↓,0.017980826838020145
VTRS,10.375,-5.0,10.451006008019107,↑,0.016777422523732308
V,203.6,8.0,206.0029246358954,↑,0.01022045139675154
VNO,40.97,7.0,40.709825043464775,↓,0.07566618127841751
VMC,171.66,6.0,177.1787791214274,↑,0.01594471142910501
WRB,67.03,15.0,66.72607397987304,↓,0.11182421420851665
GWW,494.46,15.0,492.25879348037415,↓,0.022857260382359613
WAB,87.43,10.0,104.41261741275207,↑,0.00291853127013196
WBA,45.105,10.0,45.5183369155111,↑,0.10862543743361978
WMT,155.995,3.0,154.7539158710024,↓,0.42949034504829775
WM,164.47,10.0,165.02657850911783,↑,0.13033316122286784
WAT,291.115,10.0,382.2730641122316,↑,0.005276156921782571
WEC,102.8,12.0,102.41131728289474,↓,0.38610102758971043
WFC,44.855,2.0,43.55381776391209,↓,0.01695532997407361
WELL,95.3681,9.0,94.94876575031958,↓,0.38180760738643027
WST,335.32,12.0,685.3816907449473,↑,0.0015751330622519003
WDC,49.6,8.0,49.31255573660428,↓,0.27920679338662424
WU,18.905,13.0,18.826495731961586,↓,0.2151962406513289
WRK,49.24,7.0,48.70058337223827,↓,0.3823851372209758
WY,41.055,15.0,40.63528078868194,↓,0.13822312484609645
WHR,188.565,5.0,201.36829473361195,↑,0.006272614892843269
WMB,34.475,3.0,33.833470027261455,↓,0.2929325309120414
WYNN,68.68,9.0,85.53419252296226,↑,0.005878775959016096
XEL,73.615,6.0,73.2442027994166,↓,0.23238713179114137
XYL,81.79,4.0,83.77866080756246,↑,0.045083240179517696
YUM,117.04,7.0,119.6654810344753,↑,0.012057101673227655
ZBRA,380.78,13.0,738.549609289797,↑,0.0047317464425509735
ZBH,125.15,12.0,124.3711984861693,↓,0.1577781625116462
ZION,56.29,10.0,112.91463287618308,↑,0.0010868082284256906
