,Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence,True Close,True Stock Direction,True Stock Direction (For Analysis)
258,K,68.65,3.0,68.51642821198038,↓,0.6169918837100772,69.62999725341797,↑,1
259,KEY,20.13,3.0,20.04527509089252,↓,0.03605313774486578,20.104999542236328,↓,0
260,KEYS,143.48,14.0,280.1734430677116,↑,0.003658323676367026,142.7899932861328,↓,0
261,KMB,140.42,7.0,195.15366129655376,↑,0.002832245016587543,141.0800018310547,↑,1
262,KIM,25.32,5.0,25.24552092431759,↓,0.7497866552440392,25.56999969482422,↑,1
263,KMI,18.525,16.0,19.39351072738464,↑,0.011957839673775587,18.545000076293945,↑,1
264,KLAC,320.075,5.0,321.95369894776377,↑,0.032074099234359006,317.510009765625,↓,0
265,KHC,42.605,10.0,42.478039021942095,↓,0.8993372932691388,42.9900016784668,↑,1
266,KR,55.725,11.0,55.63482366669632,↓,0.08985980549020788,55.95000076293945,↑,1
267,LHX,242.515,5.0,241.71872107866147,↓,0.02196383747566711,243.38499450683594,↑,1
268,LH,253.65,11.0,379.65257279620437,↑,0.001946630450456186,255.38450622558594,↑,1
269,LRCX,466.36,5.0,461.643968122376,↓,0.1233367919825639,459.70001220703125,↓,0
270,LW,67.17,13.0,66.69604933612936,↓,0.5897579927798162,67.5999984741211,↑,1
271,LVS,34.84,7.0,34.524884491656394,↓,0.03808421084868666,35.11000061035156,↑,1
272,LEG,36.8,7.0,36.96007891593877,↑,0.15976415439563588,36.20500183105469,↓,0
273,LDOS,107.23,9.0,106.90547813984631,↓,0.2751757366247221,105.93000030517578,↓,0
274,LEN,78.47,8.0,78.5525225297563,↑,0.0963759300049726,76.5,↓,0
275,LNC,61.86,10.0,64.58488352237237,↑,0.008955542703357402,62.290000915527344,↑,1
276,LIN,305.6,11.0,300.8066591470779,↓,0.02953209019834341,308.55999755859375,↑,1
277,LYV,108.37,10.0,107.5773823188224,↓,0.2517733590533455,107.81999969482422,↓,0
